,,"inicio","*Fuerte inhalación*"
,,"inicio","El olor a salitre me envuelve, recordándome que estoy en mi elemento."
,,"inicio","Cierro los ojos un momento, permitiendo que el sonido del océano llene mis oídos."
,,"inicio","El barco cruje con cada movimiento, como si estuviera contando las historias de mi viaje"
,,"inicio","Cuatro largos años de batallas, de horrores que nunca pensé presenciar. "
,,"inicio","Pero en medio de la oscuridad, siempre estuvo tu recuerdo, el faro que iluminaba mi camino. "
,,"inicio","..."
,,"inicio","*carraspea*"
,,"inicio","Me he puesto demasiado... ¿poético? Ah, soy un romántico empedernido."
"senecio",,"inicio","Pero no puedo evitar emocionarme, mi mente divaga sobre mi regreso a casa. A ti."
"senecio",,"inicio","Hoy el capitán me asegura que llegaremos a la capital. "
"senecio",,"inicio","En unas horas, nos reencontraremos en el hotel palaciego donde nos prometimos amor eterno."
"senecio",,"inicio"," Las cicatrices de la guerra están en mi piel, pero la esperanza de volver a abrazarte me llena de vida."
"senecio",,"inicio","Cuando recibí tu carta orquestando nuestro encuentro no pude contener las lágrimas. "
"senecio",,"inicio","Rogué durante tanto tiempo por ese momento, que la felicidad me inundó al completo."
"senecio",,"inicio","La espera se transformó en una danza de emociones, donde la alegría y la nostalgia se entrelazaban en un vaivén constante."
"senecio",,"inicio","Contando los días y las noches, la realidad del reencuentro se volvía más tangible."
"senecio",,"inicio","Cada día que pasaba nos acercaba más a ese instante mágico que tanto anhelábamos."
,,"canales","Horas más tarde, Senecio se encontraba a bordo de un bote de remos,  Los rayos del sol danzaban en la superficie del agua,"
,,"canales","pintando destellos dorados que iluminaban las fachadas de antiguos edificios y puentes que se alzaban a su paso."
,,"canales","mecido por las suaves corrientes de un canal que serpenteaba como una cinta de plata hacia la ciudad."
,,"canales","A lo lejos, un majestuoso puente de piedra se perfilaba contra el cielo, sus arcos altos extendiéndose en una bienvenida sombra. "
,,"canales","El bote navegaba con gracia bajo el puente, el murmullo del agua y el eco de risas y conversaciones creaban una sinfonía"
,,"canales","que anunciaba la entrada a la bulliciosa ciudad de Celaena."
,,"ciudad","El hotel palaciego, su destino final, se alzaba majestuosamente en la distancia. "
,,"ciudad","Mientras caminaba, contemplaba el resurgir de la ciudad después de los estragos de la guerra. Los edificios, aunque marcados "
,,"ciudad","por cicatrices del conflicto, irradiaban una nueva vitalidad, como si las piedras mismas contaran historias de superación y esperanza."
,,"ciudad","Las calles estaban llenas de vida, con comerciantes que exhibían sus mercancías coloridas y aromas tentadores que flotaban en el aire."
,,"ciudad","La gente, recuperándose de las cicatrices de la guerra, transitaba con determinación y una chispa de optimismo en sus ojos."
,,"ciudad","Senecio se detenía de vez en cuando para observar a los artesanos que trabajaban en sus talleres,"
,,"ciudad","cada uno contribuyendo a la resurrección de la ciudad con sus habilidades y esfuerzos."
,,"fachada","Cuando finalmente se encontró frente a la imponente fachada del hotel palaciego, Senecio quedó paralizado por unos minutos."
,,"fachada","La magnificencia del edificio, enmarcada por el resplandor del sol poniente, lo dejó sin aliento."
,,"fachada","Las columnas talladas y las ventanas adornadas hablaban de una historia rica y, al mismo tiempo, de un renacer lleno de promesas."
,,"fachada","Senecio permaneció allí, absorbiendo la escena, mientras la ciudad continuaba su actividad vibrante a su alrededor. "
,,"fachada","Fue un momento de asombro y gratitud, un instante en el que la belleza de la ciudad y la magnitud de lo que estaba a punto de experimentar se fusionaron en su corazón."
"senecio",,"fachada","N-no puedo creerme que ya este aquí."
